timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence
2018-06-08 11:30:06-05:00,48.22771769016981,16.346073830500245,0.0026,141.20000000000005,141.20000000000005,5.6088000000000005,5.6088000000000005,74,56,0.5
2018-06-08 11:30:07-05:00,48.22769137099385,16.346087660640478,0.00566,141.20000000000005,141.20000000000005,6.2496,6.2496,74,56,0.5
2018-06-08 11:30:10-05:00,48.227604534476995,16.346100233495235,0.015009999999999999,141.60000000000002,141.60000000000002,6.2496,6.2496,79,56,0.0
2018-06-08 11:30:13-05:00,48.227532701566815,16.346086906269193,0.02308,142.20000000000005,142.20000000000005,7.7256,7.7256,83,83,0.5
2018-06-08 11:30:14-05:00,48.227509651333094,16.3460779376328,0.02572,142.39999999999998,142.39999999999998,9.1692,9.1692,87,84,0.5
2018-06-08 11:30:16-05:00,48.22745684534311,16.34606377221644,0.0317,142.60000000000002,142.60000000000002,10.011600000000001,10.011600000000001,90,87,0.0
2018-06-08 11:30:21-05:00,48.22732583619654,16.34601834230125,0.046759999999999996,142.60000000000002,142.60000000000002,10.6128,10.6128,93,87,0.0
2018-06-08 11:30:24-05:00,48.22726079262793,16.345979031175375,0.05453,142.39999999999998,142.39999999999998,10.648800000000001,10.648800000000001,90,87,0.0
2018-06-08 11:30:26-05:00,48.227225840091705,16.345950700342655,0.05894,142.20000000000005,142.20000000000005,10.548,10.548,95,87,0.0
2018-06-08 11:30:27-05:00,48.22720999829471,16.345927650108933,0.061399999999999996,142.20000000000005,142.20000000000005,10.4796,10.4796,99,87,0.5
2018-06-08 11:30:28-05:00,48.22721888311207,16.34588599205017,0.06405,142.0,142.0,10.4148,10.4148,104,87,0.0
2018-06-08 11:30:29-05:00,48.2272329647094,16.345838718116283,0.06751,142.0,142.0,10.3788,10.3788,109,87,0.0
2018-06-08 11:30:32-05:00,48.227258026599884,16.34572472423315,0.07622,142.0,142.0,10.245600000000001,10.245600000000001,113,86,0.0
2018-06-08 11:30:35-05:00,48.227271270006895,16.345615508034825,0.08448,142.20000000000005,142.20000000000005,10.0764,10.0764,115,87,0.0
2018-06-08 11:30:38-05:00,48.22725987061858,16.345535209402442,0.09059,142.39999999999998,142.39999999999998,9.81,9.81,118,86,0.0
2018-06-08 11:30:41-05:00,48.22724235244095,16.34549363516271,0.09437000000000001,142.60000000000002,142.60000000000002,9.6408,9.6408,121,85,0.0
2018-06-08 11:30:43-05:00,48.22724360972643,16.345459772273898,0.09713,142.60000000000002,142.60000000000002,9.6408,9.6408,121,84,0.0
2018-06-08 11:30:50-05:00,48.227210752666,16.345281908288598,0.10967,143.39999999999998,143.39999999999998,9.0036,9.0036,125,85,0.0
2018-06-08 11:30:53-05:00,48.227218966931105,16.34519264101982,0.11656,143.79999999999995,143.79999999999995,8.8344,8.8344,128,85,0.0
2018-06-08 11:30:59-05:00,48.227210165932775,16.345006730407476,0.13046000000000002,144.60000000000002,144.60000000000002,8.632800000000001,8.632800000000001,125,85,0.0
2018-06-08 11:31:00-05:00,48.22718929499388,16.344965742900968,0.13396,144.79999999999995,144.79999999999995,8.632800000000001,8.632800000000001,128,85,0.0
2018-06-08 11:31:03-05:00,48.22716364637017,16.34487153030932,0.1417,145.0,145.0,8.8344,8.8344,126,85,0.0
2018-06-08 11:31:04-05:00,48.22716825641692,16.344851162284613,0.14318999999999998,145.0,145.0,8.8344,8.8344,130,85,0.0
2018-06-08 11:31:05-05:00,48.227178901433945,16.34483984671533,0.14461000000000002,145.20000000000005,145.20000000000005,8.733600000000001,8.733600000000001,130,85,0.0
2018-06-08 11:31:11-05:00,48.227279148995876,16.344830375164747,0.15625,146.20000000000005,146.20000000000005,8.632800000000001,8.632800000000001,133,84,0.5
2018-06-08 11:31:14-05:00,48.22732524946332,16.34483490139246,0.16116,146.79999999999995,146.79999999999995,8.532,8.532,136,84,0.0
2018-06-08 11:31:21-05:00,48.22744293138385,16.344807911664248,0.17385,148.20000000000005,148.20000000000005,8.0604,8.0604,140,84,0.0
2018-06-08 11:31:29-05:00,48.22764091193676,16.344826435670257,0.19594999999999999,149.60000000000002,149.60000000000002,8.330400000000001,8.330400000000001,142,84,0.0
2018-06-08 11:31:36-05:00,48.227821458131075,16.344814701005816,0.21600999999999998,152.39999999999998,152.39999999999998,8.564400000000001,8.564400000000001,143,83,0.5
2018-06-08 11:31:45-05:00,48.228002758696675,16.344801541417837,0.2362,154.39999999999998,154.39999999999998,8.3628,8.3628,145,83,0.5
2018-06-08 11:31:52-05:00,48.22820224799216,16.344744293019176,0.25887,154.20000000000005,154.20000000000005,8.6652,8.6652,144,82,0.5
2018-06-08 11:31:59-05:00,48.228361923247576,16.344650918617845,0.27914999999999995,152.0,152.0,8.8344,8.8344,144,82,0.5
2018-06-08 11:32:07-05:00,48.22846409864724,16.344387978315353,0.30173,151.0,151.0,9.1368,9.1368,144,83,0.5
2018-06-08 11:32:15-05:00,48.22855210863054,16.344138868153095,0.32212999999999997,150.79999999999995,150.79999999999995,9.2376,9.2376,146,84,0.0
2018-06-08 11:32:24-05:00,48.228634083643556,16.3438674621284,0.34424,149.79999999999995,149.79999999999995,9.0036,9.0036,144,84,0.0
2018-06-08 11:32:32-05:00,48.228730307891965,16.343619106337428,0.36545,149.60000000000002,149.60000000000002,9.0684,9.0684,145,83,0.5
2018-06-08 11:32:41-05:00,48.22882032953203,16.34336999617517,0.38677,149.79999999999995,149.79999999999995,9.0684,9.0684,144,83,0.5
