timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence
2018-06-23 06:52:04-05:00,42.35278610140085,-71.05780323967338,0.647,40.0,40.0,11.217600000000001,11.217600000000001,121,89,0.0
2018-06-23 06:52:08-05:00,42.352869333699346,-71.0576745774597,0.65625,40.200000000000045,40.200000000000045,11.4552,11.4552,124,89,0.0
2018-06-23 06:52:11-05:00,42.352917194366455,-71.05757399462163,0.66547,36.200000000000045,36.200000000000045,11.4876,11.4876,127,88,0.0
2018-06-23 06:52:13-05:00,42.35293253324926,-71.05750568211079,0.6713,37.200000000000045,37.200000000000045,11.4552,11.4552,130,87,0.0
2018-06-23 06:52:15-05:00,42.352946447208524,-71.05743343010545,0.6774600000000001,40.39999999999998,40.39999999999998,11.286,11.286,134,87,0.0
2018-06-23 06:52:19-05:00,42.352984165772796,-71.05729479342699,0.6895399999999999,42.799999999999955,42.799999999999955,11.185200000000002,11.185200000000002,130,88,0.0
2018-06-23 06:52:22-05:00,42.3530047852546,-71.05718323029578,0.69857,42.799999999999955,42.799999999999955,11.185200000000002,11.185200000000002,126,89,0.0
2018-06-23 06:52:29-05:00,42.35309371724725,-71.05693378485739,0.72135,41.0,41.0,11.217600000000001,11.217600000000001,129,87,0.0
2018-06-23 06:52:36-05:00,42.35318122431636,-71.05669590644538,0.7429600000000001,45.60000000000002,45.60000000000002,11.2536,11.2536,131,88,0.0
2018-06-23 06:52:44-05:00,42.35325884073973,-71.05644470080733,0.7652599999999999,48.0,48.0,11.217600000000001,11.217600000000001,130,87,0.0
2018-06-23 06:52:51-05:00,42.35309614799917,-71.05611998587847,0.79216,43.39999999999998,43.39999999999998,11.116800000000001,11.116800000000001,129,87,0.0
2018-06-23 06:52:54-05:00,42.35270052216947,-71.05590691789985,0.81349,38.200000000000045,38.200000000000045,11.116800000000001,11.116800000000001,129,88,0.0
2018-06-23 06:52:58-05:00,42.352545289322734,-71.05567599646747,0.83576,34.0,34.0,11.116800000000001,11.116800000000001,129,89,0.0
2018-06-23 06:53:05-05:00,42.35254847444594,-71.05542906560004,0.85636,31.200000000000045,31.200000000000045,11.286,11.286,128,91,0.0
2018-06-23 06:53:15-05:00,42.35252022743225,-71.05514818802476,0.8781100000000001,35.799999999999955,35.799999999999955,11.016,11.016,128,89,0.0
2018-06-23 06:53:20-05:00,42.35252408310771,-71.05473789386451,0.9097999999999999,32.799999999999955,32.799999999999955,11.0844,11.0844,127,89,0.0
